Manufacturer,Model,Titel,Date,Model/Type,Price,Currency,Website,Date_scraped,Type,Subtype,Group,Config,Storage,Storage Size (L),Rated Power low T [kW],Rated Power medium T [kW],Refrigerant,Mass of Refrigerant [kg],SPL indoor low Power [dBA],SPL outdoor low Power [dBA],SPL indoor high Power [dBA],SPL outdoor high Power [dBA],Bivalence temperature [°C],Tolerance temperature [°C],Max. water heating temperature [°C],Power heating rod low T [kW],Power heating rod medium T [kW],Poff [W],PTOS [W],PSB [W],PCKS [W],eta low T [%],eta medium T [%],SCOP,SEER low T,SEER medium T,P_th_h_ref [W],P_th_c_ref [W],P_el_h_ref [W],P_el_c_ref [W],COP_ref,EER_c_ref,Cluster
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Eco Inverter 6/8/10H+300D,SUZ-SWM100VAH + ERST30D-*M*D,02.11.2022,Mitsubishi Electric ERST30D-VM2D + SUZ-SWM100VAH (koelen & verwarmen),7560.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,300.0,7.8,7.5,R32,"1,100 kg",41.0,60.0,41.0,60.0,-10.0,-25.0,60.0,0.0,1.4,15.0,15.0,15.0,0.0,177.0,129.0,4.5,,,6630.0,,3946.0,,1.68,,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Eco Inverter 6/8/10H+300D,SUZ-SWM80VA2 + ERST30D-*M*D,02.11.2022,Mitsubishi Electric ERST30D-VM2D + SUZ-SWM80VA2 (koelen & verwarmen),7100.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,300.0,6.6,7.0,R32,"1,100 kg",41.0,59.0,41.0,59.0,-10.0,-25.0,60.0,0.0,1.2,15.0,15.0,15.0,0.0,187.0,135.0,4.74,,,6200.0,,3246.0,,1.91,,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 12 + 200D AA,PUZ-SWM120YAA + EHST20D-*M*D,26.04.2023,Mitsubishi Electric EHST20D-VM2D + PUZ-SWM120YAA (verwarmen),9075.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,200.0,12.1,12.1,R32,"1,800 kg",41.0,58.0,41.0,58.0,-7.0,-10.0,60.0,1.4,1.4,22.0,22.0,22.0,0.0,176.0,131.0,4.46,4.1,5.62,10700.0,11000.0,5722.0,3860.0,1.87,2.85,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 12 + 200D AA,PUZ-SWM120YAA + ERSD-*M*D,26.04.2023,Mitsubishi Electric ERSD-VM2D + PUZ-SWM120YAA,7465.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,hydraulic module,0.0,12.1,12.1,R32,"1,800 kg",41.0,58.0,41.0,58.0,-7.0,-10.0,60.0,1.4,1.4,22.0,22.0,22.0,0.0,178.0,132.0,4.53,4.1,5.62,10700.0,11000.0,5722.0,3860.0,1.87,2.85,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 12 + 200D AA,PUZ-SWM120YAA + ERST20D-*M*D,26.04.2023,Mitsubishi Electric ERST20D-VM2D + PUZ-SWM120YAA (koelen & verwarmen),9075.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,200.0,12.1,12.1,R32,"1,800 kg",41.0,58.0,41.0,58.0,-7.0,-10.0,60.0,1.4,1.4,22.0,22.0,22.0,0.0,178.0,132.0,4.53,4.1,5.62,10700.0,11000.0,5722.0,3860.0,1.87,2.85,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 12 + 300D AA,PUZ-SWM120YAA + ERST30D-*M*D,26.04.2023,Mitsubishi Electric ERST30D-VM2D + PUZ-SWM120YAA,9500.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,300.0,12.1,12.1,R32,"1,800 kg",41.0,58.0,41.0,58.0,-7.0,-10.0,60.0,1.4,1.4,22.0,22.0,22.0,0.0,178.0,132.0,4.53,4.1,5.62,10700.0,11000.0,5722.0,3860.0,1.87,2.85,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 6/8/10 + 170D AA,PUZ-SWM80VAA + ERST17D-*M*D,26.04.2023,Mitsubishi Electric ERST17D-VM2D + PUZ-SWM80VAA (koelen & verwarmen),7600.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,170.0,8.0,8.0,R32,"1,800 kg",41.0,54.0,41.0,54.0,-7.0,-10.0,60.0,0.5,0.6,15.0,15.0,15.0,0.0,184.0,130.0,4.66,4.12,5.74,7080.0,7100.0,3119.0,2219.0,2.27,3.2,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 6/8/10 + 170D AA,PUZ-SWM80YAA + ERST17D-*M*D,26.04.2023,Mitsubishi Electric ERST17D-VM2D + PUZ-SWM80YAA (koelen & verwarmen),7700.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,170.0,8.0,8.0,R32,"1,800 kg",41.0,54.0,41.0,54.0,-7.0,-10.0,60.0,0.5,0.6,22.0,22.0,22.0,0.0,183.0,130.0,4.65,4.06,5.62,7080.0,7100.0,3119.0,2219.0,2.27,3.2,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 6/8/10 + 200D AA,PUZ-SWM100YAA + EHST20D-*M*D,26.04.2023,Mitsubishi Electric EHST20D-VM2D + PUZ-SWM100YAA (verwarmen),8485.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,200.0,10.0,10.0,R32,"1,800 kg",41.0,58.0,41.0,58.0,-7.0,-10.0,60.0,1.0,1.5,22.0,22.0,22.0,0.0,177.0,132.0,4.49,3.93,5.64,8800.0,9000.0,4093.0,3051.0,2.15,2.95,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 6/8/10 + 200D AA,PUZ-SWM100YAA + ERSD-*M*D,26.04.2023,Mitsubishi Electric ERSD-VM2D + PUZ-SWM100YAA,6875.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,hydraulic module,0.0,10.0,10.0,R32,"1,800 kg",41.0,58.0,41.0,58.0,-7.0,-10.0,60.0,1.0,1.5,22.0,22.0,22.0,0.0,180.0,133.0,4.57,3.93,5.64,8800.0,9000.0,4093.0,3051.0,2.15,2.95,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 6/8/10 + 200D AA,PUZ-SWM100YAA + ERST20D-*M*D,26.04.2023,Mitsubishi Electric ERST20D-VM2D + PUZ-SWM100YAA (koelen & verwarmen),8465.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,200.0,10.0,10.0,R32,"1,800 kg",41.0,58.0,41.0,58.0,-7.0,-10.0,60.0,1.0,1.5,22.0,22.0,22.0,0.0,180.0,133.0,4.57,3.93,5.64,8800.0,9000.0,4093.0,3051.0,2.15,2.95,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 6/8/10 + 200D AA,PUZ-SWM60VAA + EHST20D-*M*D,26.04.2023,Mitsubishi Electric EHST20D-VM2D + PUZ-SWM60VAA (verwarmen),7425.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,200.0,6.0,6.0,R32,"1,800 kg",41.0,54.0,41.0,54.0,-10.0,-10.0,60.0,0.0,0.0,15.0,15.0,15.0,0.0,181.0,126.0,4.59,3.88,5.91,5310.0,5100.0,2339.0,1500.0,2.27,3.4,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 6/8/10 + 200D AA,PUZ-SWM60VAA + ERSD-*M*D,26.04.2023,Mitsubishi Electric ERSD-VM2D + PUZ-SWM60VAA,5915.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,hydraulic module,0.0,6.0,6.0,R32,"1,800 kg",41.0,54.0,41.0,54.0,-10.0,-10.0,60.0,0.0,0.0,15.0,15.0,15.0,0.0,184.0,128.0,4.68,3.88,5.91,5310.0,5100.0,2339.0,1500.0,2.27,3.4,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 6/8/10 + 200D AA,PUZ-SWM60VAA + ERST20D-*M*D,26.04.2023,Mitsubishi Electric ERST20D-VM2D + PUZ-SWM60VAA (koelen & verwarmen),7425.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,200.0,6.0,6.0,R32,"1,800 kg",41.0,54.0,41.0,54.0,-10.0,-10.0,60.0,0.0,0.0,15.0,15.0,15.0,0.0,184.0,128.0,4.68,3.88,5.91,5310.0,5100.0,2339.0,1500.0,2.27,3.4,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 6/8/10 + 200D AA,PUZ-SWM80VAA + EHST20D-*M*D,26.04.2023,Mitsubishi Electric EHST20D-VM2D + PUZ-SWM80VAA (verwarmen),7675.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,200.0,8.0,8.0,R32,"1,800 kg",41.0,54.0,41.0,54.0,-7.0,-10.0,60.0,0.5,0.6,15.0,15.0,15.0,0.0,181.0,129.0,4.59,4.12,5.74,7080.0,7100.0,3119.0,2219.0,2.27,3.2,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 6/8/10 + 200D AA,PUZ-SWM80VAA + ERSD-*M*D,26.04.2023,Mitsubishi Electric ERSD-VM2D + PUZ-SWM80VAA,6065.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,hydraulic module,0.0,8.0,8.0,R32,"1,800 kg",41.0,54.0,41.0,54.0,-7.0,-10.0,60.0,0.5,0.6,15.0,15.0,15.0,0.0,184.0,130.0,4.66,4.12,5.74,7080.0,7100.0,3119.0,2219.0,2.27,3.2,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 6/8/10 + 200D AA,PUZ-SWM80VAA + ERST20D-*M*D,26.04.2023,Mitsubishi Electric ERST20D-VM2D + PUZ-SWM80VAA (koelen & verwarmen),7675.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,200.0,8.0,8.0,R32,"1,800 kg",41.0,54.0,41.0,54.0,-7.0,-10.0,60.0,0.5,0.6,15.0,15.0,15.0,0.0,184.0,130.0,4.66,4.12,5.74,7080.0,7100.0,3119.0,2219.0,2.27,3.2,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 6/8/10 + 200D AA,PUZ-SWM80YAA + EHST20D-*M*D,26.04.2023,Mitsubishi Electric EHST20D-VM2D + PUZ-SWM80YAA (verwarmen),7775.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,200.0,8.0,8.0,R32,"1,800 kg",41.0,54.0,41.0,54.0,-7.0,-10.0,60.0,0.5,0.6,22.0,22.0,22.0,0.0,179.0,128.0,4.55,4.06,5.62,7080.0,7100.0,3119.0,2219.0,2.27,3.2,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 6/8/10 + 200D AA,PUZ-SWM80YAA + ERSD-*M*D,26.04.2023,Mitsubishi Electric ERSD-VM2D + PUZ-SWM80YAA,6165.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,hydraulic module,0.0,8.0,8.0,R32,"1,800 kg",41.0,54.0,41.0,54.0,-7.0,-10.0,60.0,0.5,0.6,22.0,22.0,22.0,0.0,183.0,130.0,4.65,4.06,5.62,7080.0,7100.0,3119.0,2219.0,2.27,3.2,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter (TR) 6/8/10 + 200D AA,PUZ-SWM80YAA + ERST20D-*M*D,26.04.2023,Mitsubishi Electric ERST20D-VM2D + PUZ-SWM80YAA (koelen & verwarmen),7775.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,200.0,8.0,8.0,R32,"1,800 kg",41.0,54.0,41.0,54.0,-7.0,-10.0,60.0,0.5,0.6,22.0,22.0,22.0,0.0,183.0,130.0,4.65,4.06,5.62,7080.0,7100.0,3119.0,2219.0,2.27,3.2,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 10/12-200D AA,PUD-SWM100YAA(-BS) + E*SD-*M*D,06.10.2020,"Mitsubishi Electric Set 2.13 PUD-SWM100YAA + EHSD-YM9D Wärmepumpe + Hydromodul 10,0 kW WiFi 400 V",6999.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,hydraulic module,0.0,10.0,10.0,R32,"1,600 kg",41.0,59.0,41.0,59.0,-7.0,-25.0,60.0,1.43,1.43,22.0,22.0,22.0,0.0,177.0,130.0,4.49,,,8800.0,,4400.0,,2.0,,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 10/12-200D AA,PUD-SWM100YAA(-BS) + E*ST20D-*M*D,06.10.2020,"Mitsubishi Electric Set 6.13 PUD-SWM100YAA + EHST20D-YM9D Wärmepumpe + Speichermodul 10,0 kW 200 L",9499.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,200.0,10.0,10.0,R32,"1,600 kg",41.0,59.0,41.0,59.0,-7.0,-25.0,60.0,1.43,1.43,22.0,22.0,22.0,0.0,177.0,130.0,4.49,,,8800.0,,4400.0,,2.0,,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 10/12-200D AA,PUD-SWM120YAA(-BS) + E*SD-*M*D,06.10.2020,"Mitsubishi Electric Set 2.14 PUD-SWM120YAA + EHSD-YM9D Wärmepumpe + Hydromodul 12,0 kW WiFi 400V",8819.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,hydraulic module,0.0,12.0,12.0,R32,"1,600 kg",41.0,60.0,41.0,60.0,-7.0,-25.0,60.0,1.8,1.8,22.0,22.0,22.0,0.0,176.0,128.0,4.47,,,10600.0,,5464.0,,1.94,,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 10/12-200D AA,PUD-SWM120YAA(-BS) + E*ST20D-*M*D,06.10.2020,"Mitsubishi Electric Set 6.14 PUD-SWM120YAA + EHST20D-YM9D Wärmepumpe + Speichermodul 12,0 kW 200 L",9999.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,200.0,12.0,12.0,R32,"1,600 kg",41.0,60.0,41.0,60.0,-7.0,-25.0,60.0,1.8,1.8,22.0,22.0,22.0,0.0,176.0,128.0,4.47,,,10600.0,,5464.0,,1.94,,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 10/12-300D AA,PUD-SWM100YAA(-BS) + E*ST30D-*M*D,06.10.2020,Mitsubishi Electric Set 6.17 PUD-SWM100YAA + EHST30D-YM9D Wärmepumpe + Speichermodul 10 kW 300 L,9998.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,300.0,10.0,10.0,R32,"1,600 kg",41.0,59.0,41.0,59.0,-7.0,-25.0,60.0,1.43,1.43,22.0,22.0,22.0,0.0,177.0,130.0,4.49,,,8800.0,,4400.0,,2.0,,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 10/12-300D AA,PUD-SWM120YAA(-BS) + E*ST30D-*M*D,06.10.2020,Mitsubishi Electric Set 6.18 PUD-SWM120YAA + EHST30D-YM9D Wärmepumpe + Hydromodul + Speicher 12 kW,9699.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,300.0,12.0,12.0,R32,"1,600 kg",41.0,60.0,41.0,60.0,-7.0,-25.0,60.0,1.8,1.8,22.0,22.0,22.0,0.0,176.0,128.0,4.47,,,10600.0,,5464.0,,1.94,,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 11-200D Packaged AA,PUZ-WM112YAA(-BS) + EHPT20X-*M*D,19.12.2023,Mitsubishi Electric Set 8.14 PUZ-WM112YAA+EHPT20X-YM9D Monoblock-Wärmepumpe+Speichermodul 11 kW 400V,11569.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,200.0,10.0,10.0,R32,"3,000 kg",40.0,60.0,40.0,60.0,-7.0,-25.0,60.0,1.22,1.22,22.0,22.0,22.0,0.0,189.0,133.0,4.81,,,8800.0,,3982.0,,2.21,,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 11-200D Packaged AA,PUZ-WM112YAA(-BS) + ERPT20X-*M*D,19.12.2023,Mitsubishi Electric Set 8.34 PUZ-WM112YAA + ERPT20X-VM2D Monoblock-Wärmepumpe+Speichermodul K/H 11kW,10299.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,200.0,10.0,10.0,R32,"3,000 kg",40.0,60.0,40.0,60.0,-7.0,-25.0,60.0,1.22,1.22,22.0,22.0,22.0,0.0,195.0,136.0,4.95,,,8800.0,,3982.0,,2.21,,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 5-200D Packaged,PUZ-WM50VHA(-BS) + EHPT20X-*M*D,19.12.2023,"Mitsubishi Electric Set 8.11 PUZ-WM50VHA + EHPT20X-YM9D Monoblock-Wärmepumpe + Speichermodul 5,0 kW",9149.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,200.0,5.0,5.0,R32,"2,000 kg",40.0,61.0,40.0,61.0,-7.0,-20.0,60.0,0.81,0.81,15.0,15.0,15.0,0.0,183.0,129.0,4.66,,,4400.0,,2157.0,,2.04,,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 5-200D Packaged,PUZ-WM50VHA(-BS) + ERPT20X-*M*D,19.12.2023,"Mitsubishi Electric Set 8.31 PUZ-WM50VHA + ERPT20X-VM2D Monoblock-Wärmepumpe+Speichermodul K/H 5,0kW",8969.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,200.0,5.0,5.0,R32,"2,000 kg",40.0,61.0,40.0,61.0,-7.0,-20.0,60.0,0.81,0.81,15.0,15.0,15.0,0.0,190.0,133.0,4.83,,,4400.0,,2157.0,,2.04,,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 5/6-200E Packaged R290,PUZ-WZ50VAA(-BS) + ERPX-*M*E,31.08.2023,Mitsubishi Electric Wärmepumpen-Set 13.1 Monoblock PUZ-WZ50VAA + ERPX-YM9E Hydromodul | R290 | 400V,10579.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,hydraulic module,0.0,5.0,5.0,R290,"0,600 kg",40.0,56.0,40.0,56.0,-7.0,-25.0,75.0,0.1,0.1,15.0,15.0,15.0,0.0,182.0,138.0,4.62,3.99,4.89,4420.0,3200.0,1849.0,1032.0,2.39,3.1,1
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 5/6-200E Packaged R290,PUZ-WZ60VAA(-BS) + ERPX-*M*E,31.08.2023,Mitsubishi Electric Wärmepumpen-Set 13.2 Monoblock PUZ-WZ60VAA + ERPX-YM9E Hydromodul | R290 | 400V,10999.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,hydraulic module,0.0,6.0,6.0,R290,"0,600 kg",40.0,56.0,40.0,56.0,-7.0,-25.0,75.0,0.1,0.1,15.0,15.0,15.0,0.0,179.0,139.0,4.55,3.98,4.79,5310.0,3600.0,2260.0,1241.0,2.35,2.9,1
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,PUD-SWM60VAA(-BS) + E*SD-*M*D,30.11.2020,"Mitsubishi Electric Set 2.11 PUD-SWM60VAA + EHSD-YM9D Wärmepumpe + Hydromodul 6,0 kW WiFi 400 Volt",6999.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,hydraulic module,0.0,6.0,6.0,R32,"1,300 kg",41.0,55.0,41.0,55.0,-7.0,-25.0,60.0,0.92,0.93,15.0,15.0,15.0,0.0,175.0,130.0,4.46,,,5300.0,,2536.0,,2.09,,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,PUD-SWM60VAA(-BS) + E*ST20D-*M*D,30.11.2020,Mitsubishi Electric Set 6.11 PUD-SWM60VAA + EHST20D-YM9D Wärmepumpe + Speichermodul + Speicher 6 kW,8899.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,200.0,6.0,6.0,R32,"1,300 kg",41.0,55.0,41.0,55.0,-7.0,-25.0,60.0,0.92,0.93,15.0,15.0,15.0,0.0,175.0,130.0,4.46,,,5300.0,,2536.0,,2.09,,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,PUD-SWM80VAA(-BS) + E*SD-*M*D,30.11.2020,Mitsubishi Electric EHSD-VM2D + PUD-SWM80VAA (verwarmen),6065.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,hydraulic module,0.0,8.0,8.0,R32,"1,300 kg",41.0,56.0,41.0,56.0,-7.0,-25.0,60.0,1.28,1.3,15.0,15.0,15.0,0.0,178.0,131.0,4.53,,,7100.0,,3498.0,,2.03,,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,PUD-SWM80VAA(-BS) + E*ST20D-*M*D,30.11.2020,Mitsubishi Electric EHST20D-VM2D + PUD-SWM80VAA (verwarmen),7525.0,EUR,climashop,2025-02-26,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,200.0,8.0,8.0,R32,"1,300 kg",41.0,56.0,41.0,56.0,-7.0,-25.0,60.0,1.28,1.3,15.0,15.0,15.0,0.0,178.0,131.0,4.53,,,7100.0,,3498.0,,2.03,,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,PUD-SWM80YAA(-BS) + E*SD-*M*D,30.11.2020,"Mitsubishi Electric Set 2.12 PUD-SWM80YAA + EHSD-YM9D Wärmepumpe + Hydromodul 8,0 kW WiFi 400 Volt",6499.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,hydraulic module,0.0,8.0,8.0,R32,"1,300 kg",41.0,56.0,41.0,56.0,-7.0,-25.0,60.0,1.28,1.3,22.0,22.0,22.0,0.0,176.0,130.0,4.48,,,7100.0,,3498.0,,2.03,,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,PUD-SWM80YAA(-BS) + E*ST20D-*M*D,30.11.2020,"Mitsubishi Electric Set 6.12 PUD-SWM80YAA + EHST20D-YM9D Wärmepumpe + Speichermodul 10,0 kW 200 L",8444.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,200.0,8.0,8.0,R32,"1,300 kg",41.0,56.0,41.0,56.0,-7.0,-25.0,60.0,1.28,1.3,22.0,22.0,22.0,0.0,176.0,130.0,4.48,,,7100.0,,3498.0,,2.03,,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-300D AA,PUD-SWM60VAA(-BS) + E*ST30D-*M*D,30.11.2020,"Mitsubishi Electric Set 6.15 PUD-SWM60VAA + EHST30D-YM9D Wärmepumpe + Speichermodul 6,0 kW 300 L",8799.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,300.0,6.0,6.0,R32,"1,300 kg",41.0,55.0,41.0,55.0,-7.0,-25.0,60.0,0.92,0.93,15.0,15.0,15.0,0.0,175.0,130.0,4.46,,,5300.0,,2536.0,,2.09,,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-300D AA,PUD-SWM80YAA(-BS) + E*ST30D-*M*D,30.11.2020,"Mitsubishi Electric Set 6.16 PUD-SWM80YAA + EHST30D-YM9D Wärmepumpe + Speichermodul 8,0 kW 300 L",9799.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,split,warm-water tank,300.0,8.0,8.0,R32,"1,300 kg",41.0,56.0,41.0,56.0,-7.0,-25.0,60.0,1.28,1.3,22.0,22.0,22.0,0.0,176.0,130.0,4.48,,,7100.0,,3498.0,,2.03,,2
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/9-200D Packaged AA,PUZ-WM60VAA(-BS) + EHPT20X-*M*D,19.12.2023,"Mitsubishi Electric Set 8.12 PUZ-WM60VAA + EHPT20X-YM9D Monoblock-Wärmepumpe + Speichermodul 6,0 kW",10329.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,200.0,6.0,6.0,R32,"2,200 kg",40.0,58.0,40.0,58.0,-7.0,-20.0,60.0,0.79,0.79,15.0,15.0,15.0,0.0,190.0,142.0,4.84,,,5300.0,,2345.0,,2.26,,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/9-200D Packaged AA,PUZ-WM60VAA(-BS) + ERPT20X-*M*D,19.12.2023,"Mitsubishi Electric Set 8.32 PUZ-WM60VAA + ERPT20X-VM2D Monoblock-Wärmepumpe+Speichermodul K/H 6,0kW",8999.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,200.0,6.0,6.0,R32,"2,200 kg",40.0,58.0,40.0,58.0,-7.0,-20.0,60.0,0.79,0.79,15.0,15.0,15.0,0.0,197.0,145.0,4.99,,,5300.0,,2345.0,,2.26,,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/9-200D Packaged AA,PUZ-WM85YAA(-BS) + EHPT20X-*M*D,19.12.2023,"Mitsubishi Electric Set 8.13 PUZ-WM85YAA+EHPT20X-VM6D Monoblock-Wärmepumpe+Speichermodul 8,5 kW 400V",10799.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,200.0,8.5,8.5,R32,"2,200 kg",40.0,58.0,40.0,58.0,-7.0,-20.0,60.0,1.32,1.32,22.0,22.0,22.0,0.0,190.0,138.0,4.84,,,7500.0,,3623.0,,2.07,,4
 Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/9-200D Packaged AA,PUZ-WM85YAA(-BS) + ERPT20X-*M*D,19.12.2023,"Mitsubishi Electric Set 8.33 PUZ-WM85YAA + ERPT20X-VM2D Monoblock-Wärmepumpe+Speichermodul K/H 8,5kW",9829.0,EUR,breeze24,2025-03-03,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,200.0,8.5,8.5,R32,"2,200 kg",40.0,58.0,40.0,58.0,-7.0,-20.0,60.0,1.32,1.32,22.0,22.0,22.0,0.0,197.0,141.0,5.0,,,7500.0,,3623.0,,2.07,,4
